signal,lookback_days,year,sharpe,turnover_percent,fitness,returns_percent,drawdown_percent,margin_bps
price_reversal,3,2019,2.46,44.58,1.16,9.91,3.25,4.44
price_reversal,3,2020,3.04,46.06,2.37,27.90,3.13,12.11
price_reversal,3,2021,1.04,45.08,0.52,11.36,5.96,5.04
price_reversal,3,2022,0.76,45.69,0.31,7.53,6.22,3.29
price_reversal,3,2023,2.08,44.77,1.09,12.19,4.16,5.44
price_volume,5,2019,1.55,51.57,0.51,5.58,3.10,2.16
price_volume,5,2020,2.98,52.27,1.99,23.27,3.56,8.90
price_volume,5,2021,0.13,51.10,0.02,1.13,7.62,0.44
price_volume,5,2022,0.41,51.55,0.10,3.29,5.28,1.27
price_volume,5,2023,2.42,51.14,1.16,11.69,2.18,4.57
